# category<TAB>text<TAB>attribution<TAB>source title<TAB>source URL
# WISDOM and ANIME lines are short quotations. LIFE_FACT lines are original summaries.
# Source links document provenance; they do not grant rights to copyrighted dialogue.
# See THIRD_PARTY_NOTICES.md before redistributing the ANIME category.
WISDOM	This world is mere change, and this life, opinion.	Marcus Aurelius	Meditations · c. 170–180 CE	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Look within; within is the fountain of all good.	Marcus Aurelius	Meditations · c. 170–180 CE	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Begin therefore with little things.	Epictetus	The Enchiridion · c. 125 CE	https://www.gutenberg.org/ebooks/45109.txt.utf-8
WISDOM	Exercise, therefore, what is in your power.	Epictetus	The Enchiridion · c. 125 CE	https://www.gutenberg.org/ebooks/45109.txt.utf-8
WISDOM	Trust thyself: every heart vibrates to that iron string.	Ralph Waldo Emerson	Self-Reliance · 1841	https://www.gutenberg.org/ebooks/2944.txt.utf-8
WISDOM	Nothing can bring you peace but yourself.	Ralph Waldo Emerson	Self-Reliance · 1841	https://www.gutenberg.org/ebooks/2944.txt.utf-8
WISDOM	Simplify, simplify.	Henry David Thoreau	Walden · 1854	https://www.gutenberg.org/ebooks/205.txt.utf-8
WISDOM	Only that day dawns to which we are awake.	Henry David Thoreau	Walden · 1854	https://www.gutenberg.org/ebooks/205.txt.utf-8
WISDOM	Eat not to dullness; drink not to elevation.	Benjamin Franklin	Autobiography · 1791	https://www.gutenberg.org/ebooks/20203.txt.utf-8
WISDOM	Resolve to perform what you ought; perform without fail what you resolve.	Benjamin Franklin	Autobiography · 1791	https://www.gutenberg.org/ebooks/20203.txt.utf-8
WISDOM	From that moment, I understood the pathway from slavery to freedom.	Frederick Douglass	Narrative · 1845	https://www.gutenberg.org/ebooks/23.txt.utf-8
WISDOM	I finally succeeded in learning to read.	Frederick Douglass	Narrative · 1845	https://www.gutenberg.org/ebooks/23.txt.utf-8
WISDOM	I let no opportunity slip to push my case.	Booker T. Washington	Up from Slavery · 1901	https://www.gutenberg.org/ebooks/2376.txt.utf-8
WISDOM	Cast down your bucket where you are.	Booker T. Washington	Up from Slavery · 1901	https://www.gutenberg.org/ebooks/2376.txt.utf-8
WISDOM	He worked patiently for success; and it came, but slowly.	Samuel Smiles	Self-Help · 1859	https://www.gutenberg.org/ebooks/935.txt.utf-8
WISDOM	Progress, however, of the best kind, is comparatively slow.	Samuel Smiles	Self-Help · 1859	https://www.gutenberg.org/ebooks/935.txt.utf-8
WISDOM	The spectacle of effort is what awakens and sustains our own effort.	William James	Talks to Teachers · 1899	https://www.gutenberg.org/ebooks/16287.txt.utf-8
WISDOM	To face uninteresting drudgery is a good part of life's work.	William James	Talks to Teachers · 1899	https://www.gutenberg.org/ebooks/16287.txt.utf-8
WISDOM	Dreams are the seedlings of realities.	James Allen	As a Man Thinketh · 1903	https://www.gutenberg.org/ebooks/4507.txt.utf-8
WISDOM	Self-control is strength; Right Thought is mastery; Calmness is power.	James Allen	As a Man Thinketh · 1903	https://www.gutenberg.org/ebooks/4507.txt.utf-8
WISDOM	Let these things suffice thee; let them be always unto thee, as thy general rules and precepts.	Marcus Aurelius	Meditations · Book I, XVII	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Give thyself leisure to learn some good thing, and cease roving and wandering to and fro.	Marcus Aurelius	Meditations · Book II, IV	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Our life is a warfare, and a mere pilgrimage.	Marcus Aurelius	Meditations · Book II, XV	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Trouble not thyself any more henceforth, reduce thyself unto perfect simplicity.	Marcus Aurelius	Meditations · Book IV, XXI	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Doth any man offend? It is against himself that he doth offend: why should it trouble thee?	Marcus Aurelius	Meditations · Book IV, XXI	https://www.gutenberg.org/ebooks/2680.txt.utf-8
WISDOM	Men are disturbed not by things, but by the views which they take of things.	Epictetus	The Enchiridion · Chapter V	https://www.gutenberg.org/ebooks/45109.txt.utf-8
